Subclass description,ListPrice,ItemNumber,ProductNumber,Product Name,UpcNumber,Image Name,Weight,Description
Toilets,874,466317,2907016222,American Standard 2907016222 Antiquity Cadet 3 Right Height One-Piece Toilet with Seat- Linen,033056734599,AS_2907_016_020.jpg,125,ADA elongated one piece toilet<br />EverClean surface inhibits the growth of stain and odor-causing bacteria
Toilets,699,466279,2907016020,American Standard 2907016020 Antiquity Cadet 3 Right Height One-Piece Toilet with Seat- White,033056734551,AS_2907_016_020.jpg,125,ADA elongated one piece toilet<br />EverClean surface inhibits the growth of stain and odor-causing bacteria
Toilets,366,83237,2383010WH,American Standard 2383010WH Cadet 3 Elongated Toilet- White,033056674611,AS_Cadet3EL.jpg,73,2-piece design features a separate tank and bowl<br />Elongated bowl for greater comfort<br />EverClean surface inhibits the growth of stain and odor-causing bacteria<br />
Toilets,499,410921,2403128020,American Standard 2403128020 Compact Cadet 3 FloWise One-Piece Toilet,033056714287,AS_2403_128.jpg,109,Space saving compact elongated bowl fits in the space of a round front<br />16.5 in. Rim height is more comfortable and ADA compliant<br />High efficiency<br />
Toilets,234,445621,3797016020,American Standard 3797016020 Town Square Right Height Elongated Toilet Bowl- White,033056550816,AS_2797_016_Enviro.jpg,58,ADA elongated toilet bowl only<br />16-1/2 in. bowl rim height for accessible applications<br />Vitreous china construction for durability<br />Siphon-action jetted bowl with fully glazed 2-1/8 in. trapway<br />AquaForce flushing system with 2 in. flush valve<br />12 in. rough-in<br />12 (305mm) rough-in dimension
Toilets,293,446025,3797016021,American Standard 3797016021 Town Square Right Height (16-1/2 In.) Elongated Toilet Bowl With Seat in Bone.,033056550823,AS_2797_016_Enviro.jpg,58,ADA elongated toilet bowl only<br />AquaForce flushing system features 2 flush valve<br />Fully glazed 2-1/8 trapway<br />Vitreous china<br />Elongated siphon action jetted bowl with 2 fully glazed trapway<br />16-1/2 In. bowl rim height for accessible applications<br />12 (305mm) rough-in dimension
Toilets,359,446033,3797016178,American Standard 3797016178 Town Square Right Height (16-1/2 In.) Elongated Toilet Bowl With Seat in Black,033056550847,AS_2797_016_Enviro.jpg,81.4,ADA elongated toilet bowl only<br />AquaForce flushing system features 2 flush valve<br />Fully glazed 2-1/8 trapway<br />Vitreous china<br />Elongated siphon action jetted bowl with 2 fully glazed trapway<br />16-1/2 In. bowl rim height for accessible applications<br />12 (305mm) rough-in dimension
Toilets,624,411049,2403128021,American Standard 2403128021 Compact Cadet 3 FloWise One-Piece Toilet,033056714294,AS_2403_128.jpg,108,Space saving compact elongated bowl fits in the space of a round front<br />Space saving compact elongated bowl fits in the space of a round front<br />Bowl height is Right Height for ADA compliance<br />WaterSense certified high-efficiency design uses 1.28 GPF for significant water savings<br />EverClean Surface inhibits the growth of mold
Toilets,624,411093,2403128222,American Standard 2403128222 Compact Cadet 3 FloWise One-Piece Toilet,033056714324,AS_2403_128.jpg,109,Space saving compact elongated bowl fits in the space of a round front<br />Space saving compact elongated bowl fits in the space of a round front<br />Bowl height is Right Height for ADA compliance<br />WaterSense certified high-efficiency design uses 1.28 GPF for significant water savings<br />EverClean Surface inhibits the growth of mold
Toilets,499,251041,2403012020,American Standard 2403012020 Compact Cadet 3 One Piece Elongated Toilet- White,033056683859,AS_2403_012_Compact_Cadet3_1pc__BEAUTY.jpg,112,ADA elongated one piece toilet<br />Space saving toilet fits in the space of a conventional round front bowl<br />EverClean surface inhibits the growth of stain and odor-causing bacteria<br />
Toilets,144,465251,3189016021,American Standard 3189016021 Colony FitRight Elongated Toilet Bowl- Bone,033056697979,AS_2435_012_020_beauty.jpg,55,Elongated bowl provides more comfort<br />Siphon action jetted bowl provides a better flush<br />Fully glazed 2 in. trapway<br />Color-matched plastic trip lever
Toilets,144,465255,3189016222,American Standard 3189016222 Colony FitRight Elongated Toilet Bowl- Linen,033056697986,AS_2435_012_020_beauty.jpg,55,Elongated bowl provides more comfort<br />Siphon action jetted bowl provides a better flush<br />Fully glazed 2 in. trapway<br />Color-matched plastic trip lever
Toilets,191,465707,2435012020,American Standard 2435012020 Colony FitRight Elongated Combination Toilet Tank and Bowl- Seat Not Included- White,033056706619,AS_2435_012_020_beauty.jpg,80,2-piece design features a separate tank and bowl<br />Elongated bowl for greater comfort<br />Siphon action jetted bowl<br />Fully glazed 2 in. trapway provides a better flush
Toilets,239,465710,2435012021,American Standard 2435012021 Colony FitRight Elongated Combination Toilet Tank and Bowl- Seat Not Included- Bone,033056706626,AS_2435_012_020_beauty.jpg,80,2-piece design features a separate tank and bowl<br />Elongated bowl for greater comfort<br />Siphon action jetted bowl<br />Fully glazed 2 in. trapway provides a better flush
Toilets,496,256333,2369014021,American Standard 2369014021 Doral Champion 4 Round Front Toilet- Bone,033056694183,AS_2369_014_silo.jpg,89,Round front toilet combination - tank and bowl<br />Everclean surface inhibits the growth of stain and odor-causing bacteria
Toilets,496,256341,2369014222,American Standard 2369014222 Doral Champion 4 Round Front Toilet- Linen,033056694190,AS_2369_014_silo.jpg,89,Round front toilet combination - tank and bowl<br />Everclean surface inhibits the growth of stain and odor-causing bacteria
Toilets,428,256941,2023214021,American Standard 2023214021 Champion 4 Round Front Combination Toilet- Bone,033056694541,AS_2023_214_Champion4.jpg,73,Toilet combination - tank and bowl<br />EverClean surface inhibits the growth of stain and odor-causing bacteria
Toilets,564,256109,2735014021,American Standard 2735014021 Townsend Champion 4 Round Front Right Height Toilet- Bone,033056693940,AS_2735_014.jpg,110,Round front toilet combination<br />
Toilets,496,256409,2076014222,American Standard 2076014222 Doral Classic Champion 4 Round Front Toilet- Linen,033056694343,AS_2076_014.jpg,0,Round front toilet combination - tank and bowl<br />EverClean surface inhibits the growth of stain and odor-causing bacteria
Toilets,513,256845,2023214178,American Standard 2023214178 Champion 4 Round Front Combination Toilet- Black,033056694572,AS_2023_214_Champion4.jpg,0,Toilet combination - tank and bowl<br />EverClean surface inhibits the growth of stain and odor-causing bacteria
Toilets,428,256937,2023214222,American Standard 2023214222 Champion 4 Round Front Combination Toilet- Linen,033056694558,AS_2023_214_Champion4.jpg,73,Toilet combination - tank and bowl<br />EverClean surface inhibits the growth of stain and odor-causing bacteria
Toilets,206,635361,3180016020,American Standard 3180016020 Townsend Champion Right Height Round Front Seatless Toilet Bowl in White,033056659045,AS_2735_014.jpg,70,Round front toilet bowl only<br />EverClean surface inhibits the growth of stain and odor-causing bacteria
Toilets,246,462801,3264016020,American Standard 3264016020 Standard Collection Elongated Toilet Bowl with Seat in White,033056558683,AS_2474_016.jpg,68,Elongated toilet bowl only<br />AquaForce flushing system features 2 flush valve<br />Fully glazed 2-1/8 trapway<br />Vitreous china<br />AquaForce flushing system for a clean
Toilets,308,569865,3264016222,American Standard 3264016222 Standard Collection Elongated Toilet Bowl with Seat in Linen,033056558690,AS_2474_016.jpg,78.5,Elongated toilet bowl only<br />AquaForce flushing system features 2 flush valve<br />Fully glazed 2-1/8 trapway<br />Vitreous china<br />AquaForce flushing system for a clean
Toilets,350,74681,2384012BK,American Standard 2384012BK Cadet 3 Round Front Toilet- Black,033056674857,AS_2384_012.jpg,77,2-piece design features a separate tank and bowl<br />Round front bowl fits better in smaller bathrooms<br />EverClean surface inhibits the growth of stain and odor-causing bacteria<br />
Toilets,233,446237,2829128020,American Standard 2829128020 Cadet 3 FloWise Round Front Toilet- High Efficiency- Certified in EPA WaterSense Program,033056718520,AS_2384_012.jpg,84,Combination toilet tank and bowl<br />Round front high efficiency
Toilets,350,446253,2829128178,American Standard 2829128178 Cadet 3 FloWise Round Front Toilet- High Efficiency- Certified in EPA WaterSense Program,033056718568,AS_2384_012.jpg,84,Combination toilet tank and bowl<br />Round front high efficiency
Toilets,318,466347,2758128020,American Standard 2758128020 Cadet 3 FloWise Right Height Round Front Toilet- 12 Inches Rough-In- White,033056753750,AS_2758_128_020.jpg,88,ADA round front toilet combination<br />
Toilets,397,466356,2758128021,American Standard 2758128021 Cadet 3 FloWise Right Height Round Front Toilet- 12 Inches Rough-In- Bone,033056753781,AS_2758_128_020.jpg,88,ADA round front toilet combination<br />
Toilets,416,82089,2386010WH,American Standard 2386010WH Cadet 3 Right Height Elongated Toilet- White,033056674468,AS_Cadet3EL.jpg,78,2-piece design features a separate tank and bowl<br />Elongated bowl for greater comfort<br />EverClean surface inhibits the growth of stain and odor-causing bacteria<br />
Toilets,291,446241,2829128021,American Standard 2829128021 Cadet 3 FloWise Round Front Toilet- High Efficiency- Certified in EPA WaterSense Program,033056718537,AS_2384_012.jpg,84,Combination toilet tank and bowl<br />Round front high efficiency
Toilets,749,466156,2097012020,American Standard 2097012020 New Savona One-Piece Toilet- White,033056734612,AS_2097_012_020.jpg,125,Contemporary styled 1-piece toilet<br />Siphon action jetted bowl with smooth-sided
Toilets,936,466162,2097012021,American Standard 2097012021 New Savona One-Piece Toilet- Bone,033056734629,AS_2097_012_020.jpg,125,Elongated contemporary styled one-piece toilet<br />Siphon action jetted bowl with smooth-sided
Toilets,98,466200,3708216020,American Standard 3708216020 H2Option Siphonic Dual Flush Round Front Bowl- White,033056751886,AS_2887_216_020.jpg,44.4,Round bowl is ideal for small bathrooms<br />High efficiency toilet with ultra low consumption meets EPA WaterSense criteria<br />Siphonic action bowl with direct fed jet<br />Chrome-plated top mounted push button actuator
Toilets,169,445625,3787016020,American Standard 3787016020 Town Square Right Height (16-1/2 In.) Round Front Toilet Bowl with Seat in White,033056550779,AS_2787_016_Enviro.jpg,77.55,Ada round front toilet bowl only<br />Aquaforce flushing system features 2 in. flush valve<br />Fully glazed 2-1/8 in. trapway<br />Side-mounted chrome antique trip lever with color matched ceramic handle insert<br />Round front siphon action jetted bowl with 2 in. Fully glazed trapway<br />16-7/8 in. Bowl rim height for accessible applications<br />12 in. (305mm) rough-in dimension
Toilets,254,446045,3787016178,American Standard 3787016178 Town Square Right Height (16-1/2 In.) Round Front Toilet Bowl with Seat in Black,033056550809,AS_2787_016_Enviro.jpg,75,ADA round front toilet bowl<br />
Toilets,211,446041,3787016222,American Standard 3787016222 Town Square Right Height (16-1/2 In.) Round Front Toilet Bowl With Seat in Linen,033056550793,AS_2787_016_Enviro.jpg,58,ADA round front toilet bowl only<br />AquaForce flushing system features 2 flush valve<br />Fully glazed 2-1/8 trapway<br />Vitreous china<br />Round Front siphon action jetted bowl with 2 fully glazed trapway<br />16-7/8 In. bowl rim height for accessible applications<br />12 (305mm) rough-in dimension
